method_name,loc,num_params,is_long_method,is_long_param
setIsbnNo,1,1,0,0
getActivityType,1,0,0,0
setActivityType,1,1,0,0
getActivityType,1,1,0,0
toString,1,0,0,0
getName,1,0,0,0
setName,1,1,0,0
getPaperTitle,1,0,0,0
setPaperTitle,1,1,0,0
getAuthor,1,0,0,0
setAuthor,1,1,0,0
getPublicationDate,1,0,0,0
setPublicationDate,1,1,0,0
getPlace,1,0,0,0
setPlace,1,1,0,0
getVolume,1,0,0,0
setVolume,1,1,0,0
getPageNo,1,0,0,0
setPageNo,1,1,0,0
getDoiNo,1,0,0,0
setDoiNo,1,1,0,0
getLink,1,0,0,0
setLink,1,1,0,0
getImpactFactor,1,0,0,0
setImpactFactor,1,1,0,0
getImpactType,1,0,0,0
setImpactType,1,1,0,0
getPublicationType,1,0,0,0
setPublicationType,1,1,0,0
getId,1,0,0,0
setId,1,1,0,0
getProfessionalBodyName,1,0,0,0
setProfessionalBodyName,1,1,0,0
getPlace,1,0,0,0
setPlace,1,1,0,0
getJoiningYear,1,0,0,0
setJoiningYear,1,1,0,0
getMembershipType,1,0,0,0
setMembershipType,1,1,0,0
getMembershipNo,1,0,0,0
setMembershipNo,1,1,0,0
toString,1,0,0,0
getId,1,0,0,0
setId,1,1,0,0
getStartDate,1,0,0,0
setStartDate,1,1,0,0
getEndDate,1,0,0,0
setEndDate,1,1,0,0
getSponsores,1,0,0,0
setSponsores,1,1,0,0
getNote,1,0,0,0
setNote,1,1,0,0
getTopic,1,0,0,0
setTopic,1,1,0,0
getPlace,1,0,0,0
setPlace,1,1,0,0
getParticipation,1,0,0,0
setParticipation,1,1,0,0
getParticipation,1,1,0,0
toString,1,0,0,0
getSurname,1,0,0,0
setSurname,1,1,0,0
getPlace,1,0,0,0
setPlace,1,1,0,0
getMotherName,1,0,0,0
setMotherName,1,1,0,0
getNationality,1,0,0,0
setNationality,1,1,0,0
getCareerObjectives,1,0,0,0
setCareerObjectives,1,1,0,0
getStrengths,1,0,0,0
setStrengths,1,1,0,0
getHobbies,1,0,0,0
setHobbies,1,1,0,0
getId,1,0,0,0
setId,1,1,0,0
getName,1,0,0,0
setName,1,1,0,0
getGender,1,0,0,0
setGender,1,1,0,0
getDob,1,0,0,0
setDob,1,1,0,0
getMobileNo,1,0,0,0
setMobileNo,1,1,0,0
getEmailId,1,0,0,0
setEmailId,1,1,0,0
getAddress,1,0,0,0
setAddress,1,1,0,0
getAge,1,0,0,0
setAge,1,1,0,0
getMaritalStatus,1,0,0,0
setMaritalStatus,1,1,0,0
getFatherName,1,0,0,0
setFatherName,1,1,0,0
getLangaugeProf,1,0,0,0
setLangaugeProf,1,1,0,0
toString,1,0,0,0
getBackEnd,1,0,0,0
setBackEnd,1,1,0,0
getTitte,1,0,0,0
setTitte,1,1,0,0
getGuide,1,0,0,0
setGuide,1,1,0,0
getFrontEnd,1,0,0,0
setFrontEnd,1,1,0,0
getInputs,1,0,0,0
setInputs,1,1,0,0
getOutputs,1,0,0,0
setOutputs,1,1,0,0
getDescription,1,0,0,0
setDescription,1,1,0,0
toString,1,0,0,0
getName,1,0,0,0
setName,1,1,0,0
getDesignation,1,0,0,0
setDesignation,1,1,0,0
getAffiliation,1,0,0,0
setAffiliation,1,1,0,0
getEmailId,1,0,0,0
setEmailId,1,1,0,0
getContactNo,1,0,0,0
setContactNo,1,1,0,0
toString,1,0,0,0
getConnection,1,0,0,0
closeConnection,1,0,0,0
insertPersonalDetails,1,1,0,0
insertEducationalDetails,1,1,0,0
insertEducationalDetails,1,1,0,0
insertExperiences,1,1,0,0
insertExperienceDetails,1,1,0,0
insertParticipations,1,1,0,0
insertParticipation,1,1,0,0
insertAchievements,1,1,0,0
insertAchievement,1,1,0,0
insertProjects,1,1,0,0
insertProject,1,1,0,0
insertReferences,1,1,0,0
insertReference,1,1,0,0
getPersonalDetails,1,0,0,0
getEducationalDetails,1,0,0,0
getExperienceDetails,1,0,0,0
getParticipationDetails,1,0,0,0
getAchievementDetails,1,0,0,0
getProjectDetails,1,0,0,0
getReferencesDetails,1,0,0,0
main,1,1,0,0
insertPersonalDetails,1,1,0,0
insertEducationalDetails,1,1,0,0
insertExperiences,1,1,0,0
inserParticipation,1,1,0,0
insertAchievement,1,1,0,0
insertProject,1,1,0,0
insertReference,1,1,0,0
getPersonalDetails,1,0,0,0
getEducationDetails,1,0,0,0
getExperienceDetails,1,0,0,0
getParticipationDetails,1,0,0,0
getAchievementDetails,1,0,0,0
getProjectDetails,1,0,0,0
getReferencesDetails,1,0,0,0
main,1,1,0,0
fromCSV,1,1,0,0
readCsvFile,1,0,0,0
writeCsvFile,1,1,0,0
getFilePath,1,2,0,0
inputValidName,1,1,0,0
inputValidID,1,1,0,0
addUniqueName,1,2,0,0
addUniqueID,1,2,0,0
inputValidGPA,1,1,0,0
inputValidYear,1,1,0,0
inputValidDepartment,1,1,0,0
inputValidChoice,1,1,0,0
displayHeading,1,0,0,0
displayMenuAndGetChoice,1,0,0,0
getTicketClassChoice,1,0,0,0
getNumberOfTickets,1,0,0,0
getPassengerName,1,0,0,0
getPassengerAge,1,0,0,0
getPassengerPhoneNumber,1,0,0,0
displayBookingSuccess,1,2,0,0
displayBookingFailureNoAvailability,1,0,0,0
getPassengerNumberForCancelOrSearch,1,1,0,0
displayCancellationSuccess,1,1,0,0
displayCancellationFailure,1,0,0,0
displayPassengerDetails,1,1,0,0
getClassString,1,1,0,0
displayReservationChart,1,3,0,0
displayUnbookedTickets,1,3,0,0
displayExitMessage,1,0,0,0
displayInvalidChoice,1,0,0,0
waitForEnter,1,0,0,0
clearScreen,1,0,0,0
getPassengerNumber,1,0,0,0
getName,1,0,0,0
getPhoneNumber,1,0,0,0
getAge,1,0,0,0
getTicketClass,1,0,0,0
setName,1,1,0,0
setPhoneNumber,1,1,0,0
setAge,1,1,0,0
setTicketClass,1,1,0,0
toString,1,0,0,0
run,1,0,0,0
handleBookTicket,1,0,0,0
handleCancelTicket,1,0,0,0
